               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.035025,            0.010541,           0.0026001,             0.99379,             0.99995,             0.99502,             0.65708,            0.037512,           0.0090057,           0.0023314,            0.004073,            0.004073,            0.004073
                  68,            0.030115,           0.0090086,           0.0024481,              0.9227,              0.9999,             0.94702,              0.6147,             0.03737,           0.0088035,           0.0022068,           0.0039638,           0.0039638,           0.0039638
                  69,            0.034275,            0.010289,           0.0025708,             0.99846,                   1,             0.99502,             0.68975,            0.037337,           0.0087847,           0.0020302,           0.0038567,           0.0038567,           0.0038567
                  70,            0.033249,            0.010544,           0.0023107,             0.99625,                   1,             0.99502,             0.60467,            0.034018,           0.0088573,           0.0019787,           0.0037517,           0.0037517,           0.0037517
                  71,            0.029647,           0.0089389,           0.0016239,             0.62549,                   1,             0.86057,              0.3675,             0.05765,           0.0077145,           0.0019551,           0.0036489,           0.0036489,           0.0036489
                  72,            0.050738,           0.0096546,           0.0020924,             0.62549,                   1,             0.86057,              0.3675,             0.05765,           0.0077145,           0.0019551,           0.0035484,           0.0035484,           0.0035484
                  73,            0.050291,           0.0092133,           0.0017561,             0.60934,                   1,             0.76001,              0.3602,            0.066156,           0.0073245,           0.0018896,           0.0034503,           0.0034503,           0.0034503
                  74,            0.047151,           0.0085091,           0.0014468,             0.68079,                   1,              0.7976,             0.38669,            0.065318,           0.0072083,           0.0017946,           0.0033548,           0.0033548,           0.0033548
                  75,            0.045309,           0.0089834,           0.0021695,             0.78336,             0.99735,             0.95455,             0.43869,            0.055855,           0.0073126,           0.0017433,           0.0032618,           0.0032618,           0.0032618
                  76,            0.038264,           0.0090246,           0.0022553,             0.89126,             0.94381,             0.95479,               0.515,            0.050326,           0.0072558,           0.0017113,           0.0031716,           0.0031716,           0.0031716
                  77,            0.041009,            0.008418,            0.001829,             0.89126,             0.94381,             0.95479,               0.515,            0.050326,           0.0072558,           0.0017113,           0.0030841,           0.0030841,           0.0030841
                  78,            0.040253,           0.0086264,            0.001805,             0.89929,              0.9453,             0.93756,             0.54711,            0.050521,           0.0070852,           0.0018418,           0.0029996,           0.0029996,           0.0029996
                  79,            0.043112,           0.0086095,           0.0020441,             0.92096,             0.94412,             0.93979,             0.62917,            0.041946,            0.007524,           0.0019849,           0.0029179,           0.0029179,           0.0029179
                  80,            0.036029,           0.0088496,           0.0021931,             0.96615,             0.94892,             0.98596,             0.65559,            0.032962,            0.007957,           0.0021121,           0.0028394,           0.0028394,           0.0028394
                  81,            0.030867,           0.0093903,           0.0025212,             0.96615,             0.94892,             0.98596,             0.65559,            0.032962,            0.007957,           0.0021121,           0.0027639,           0.0027639,           0.0027639
                  82,            0.030557,            0.009723,           0.0021282,             0.99936,             0.94704,             0.99127,             0.67201,            0.035244,           0.0077976,           0.0022417,           0.0026917,           0.0026917,           0.0026917
                  83,            0.028995,           0.0083972,            0.001921,             0.99893,                   1,             0.99502,             0.65458,            0.033292,           0.0078669,           0.0023181,           0.0026227,           0.0026227,           0.0026227
                  84,            0.024665,           0.0088319,           0.0020208,             0.99934,                   1,             0.99502,             0.72116,            0.027686,           0.0081619,           0.0023808,            0.002557,            0.002557,            0.002557
                  85,            0.026461,           0.0087426,           0.0020348,              0.9993,                   1,             0.99502,               0.728,            0.024902,           0.0081231,           0.0022981,           0.0024948,           0.0024948,           0.0024948
                  86,            0.025543,           0.0099012,           0.0020542,              0.9993,                   1,             0.99502,               0.728,            0.024902,           0.0081231,           0.0022981,            0.002436,            0.002436,            0.002436
                  87,            0.026857,            0.010039,           0.0023361,             0.99841,                   1,             0.99502,             0.71288,            0.026862,           0.0078823,           0.0023033,           0.0023807,           0.0023807,           0.0023807
                  88,            0.025687,           0.0083681,           0.0019655,             0.99885,                   1,             0.99503,             0.69775,            0.026983,           0.0077374,           0.0022757,            0.002329,            0.002329,            0.002329
                  89,            0.027007,           0.0093602,           0.0022486,             0.99949,                   1,             0.99502,             0.68466,            0.025072,           0.0077544,            0.002168,           0.0022809,           0.0022809,           0.0022809
